Rank,Institution,Type,City,Website,Deposits,Assets,Biz card?,Card link,0% intro,Terms,Underwriter,UW evidence,Apply,Apply link,Bureau (quick),No-doc (quick),ChexSystems,EWS,LexisNexis/SageStream,Other secondary,Live-check note,Sources,Screen date
71,COMMUNITY WEST BANK,Bank,Fresno,https://www.communitywestbank.com,3147540,3697225,YES,https://www.communitywestbank.com/business-banking/business-online-banking/business-credit-cards,NO 0% intro,Business No Fee Card $0 AF + Business Choice Rewards $49 AF; both Prime+10.99%; 1pt/$1 to 10K/mo; 25-day grace,TIB,"Verbatim on live cardaccount.net app: ""the issuer and administrator of the credit card program is TIB, National Association""",Online,https://www.cardaccount.net/application/f87a3255c0/business/new,not visible live (prior: Experian),not visible on app page (prior: financials $10K+),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS TIB + LIVE-CONTRADICTS v6 note (v6 attributed cardaccount.net rail to TCM Bank N.A. — live app names TIB N.A. verbatim); terms match prior (no 0%; Prime+10.99%; $0/$49),https://www.cardaccount.net/application/f87a3255c0/business/new | https://www.communitywestbank.com/business-banking/business-online-banking/business-credit-cards,2026-06-11
72,"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),Hicksville,https://www.flagstar.com,3126219,87128815,YES,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,⭐ YES — 0% intro 18 billing cycles (standard Business Edition Visa) / 0% 12 cycles (Absolute Rewards version) on purchases + BTs,3 Business Edition Visa cards incl. secured (Maximum Rewards); $0 AF on all; apply online at card.fnbo.com,FNBO,"Live card page: 'issued by First National Bank of Omaha (FNBO), pursuant to a license from Visa U.S.A., Inc.' under Flagstar branding",Online,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,Not visible live (prior: Experian — FNBO standard),Not visible live (prior: PG typical for FNBO),Yes — pulls (DoC 2025-08-07) [DOC-LIST; 2025-08-07] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR + richer: live shows 0% 12/18-cycle intro terms prior lacked (flagstar.com homepage 403-blocked; verified via FNBO co-brand page),https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,2026-06-11
73,"CREDIT UNION OF SOUTHERN CA, A",Credit Union,Anaheim,https://www.cusocal.org,3110791,3942854,NO,,—,"Business banking/savings and CRE lending offered but no business credit card found; personal Visa cards only (Platinum Rewards, Topaz)",—,,—,,—,—,Membership: YES — HIGHLY SENSITIVE (own site: 'All accounts verified by ChexSystems'; denied at 3/6mo; Aspire = second-chance tier for ChexSystems-flagged) | BUSINESS: YES — own checking pages say 'All new accounts verified through ChexSystems'; consumer-focused (SSN/ITIN not EIN noted); no biz-bypass found [2026-06-10/11 (own site + sens page)] (https://www.cusocal.org/accounts/open-an-account/),Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10/11 (own site + sens page)] (https://www.cusocal.org/accounts/open-an-account/),UNKNOWN,UNKNOWN,Fresh screen (single pass; not in live re-verify set),https://www.cusocal.org/business/; https://www.cusocal.org/cards/compare-credit-cards/,2026-06-11
74,CALIFORNIA COAST CREDIT UNION,Credit Union,San Diego,https://www.calcoastcu.org,3058434,3469511,NO,,—,"Consumer cards only (Platinum/Platinum Rewards/Student/Secured); business = checking/savings/loans + NewtekOne partner services (merchant processing, payroll, web/IT)",—,No business card on business-services page; card links all consumer,No,,—,Not applicable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no business card; consumer cards + NewtekOne business referrals),https://www.calcoastcu.org/business-home-page/business-services/,2026-06-11
75,PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,https://www.premieramerica.com,2934356,3313106,YES,https://www.premieramerica.com/business/loans/premier-business-mastercard,NO (no intro offer; flat 14.99% var),"Premier Business MC: 14.99% var purchases/BT; $0 AF; no late/over-limit/BT fees; newer businesses (<2 yrs profitable) get lower limits; premieramerica.com 403-blocked, verified via Google-indexed site pages",SELF,Premier America-branded card on own site; no agent-bank portal; (prior: Experian BusinessIQ app names Premier America as creditor - not re-verifiable live due to 403),Online (per prior; site 403 prevented re-check of app flow),https://www.premieramerica.com/business/loans/premier-business-mastercard,—,—,"Yes — pulls + INQUIRY-SENSITIVE: 3 Chex inquiries/90 days = auto-deny (DoC DPs 2025-12-30, 2024-10-05) [DOC-LIST; 2025-12-30 (existing cell DP)] (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/)",UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (no 0%, 14.99% var, $0 AF, no late/over-limit/BT fees, self); PRIOR-RICHER on $5K-$50K limits + Experian BusinessIQ detail",https://www.premieramerica.com/business/loans/premier-business-mastercard (indexed); search corroboration 2026-06-11,2026-06-11
76,BANK OF THE SIERRA,Bank,Porterville,https://www.bankofthesierra.com,2932864,3751904,YES,https://www.bankofthesierra.com/business/loans-credit-cards/business-credit-cards/,⭐ YES,Business Cash Preferred 0% 12 cycles + 3% cats + $0 AF; Business Real Rewards 0% 6 cycles 1.5x $0 AF; Smart Business Rewards $95 AF (yr1 free) 2x,Elan,Live verbatim on offer index: 'The creditor and issuer of these Cards is Elan Financial Services'; apply via creditcardlearnmore.com,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12114&ecid=OTHE_25940#business,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS — live adds card lineup detail (Cash Preferred 12cyc / Real Rewards 6cyc),https://www.bankofthesierra.com/business/loans-credit-cards/business-credit-cards/ | https://creditcardlearnmore.com/11t3/index?ecdma-lc=12114&ecid=OTHE_25940,2026-06-11
77,PCB BANK,Bank,Los Angeles,https://www.mypcbbank.com,2898675,3395119,YES,https://www.mypcbbank.com/business/business-credit-cards,⭐ PRIOR: 0% 12 cycles -> 17.24-26.24% (Elan storefront creditcardlearnmore.com fetch-blocked; not re-verified live),"Elan biz lineup (low rate / cash back / flexible rewards); free expense reporting, free employee cards",Elan,Live page snippet: creditor and issuer is Elan Financial Services (Visa/Mastercard licenses),Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=33608&ecid=OTHE_25940,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PRIOR-RICHER (Elan + biz cards LIVE-CONFIRMED; 0% 12cyc + APR from prior; storefront domain blocked),https://www.mypcbbank.com/business/business-credit-cards,2026-06-11
78,EXCHANGE BANK,Bank,Santa Rosa,https://www.exchangebank.com,2837604,3266467,YES,https://www.exchangebank.com/business/credit-cards,⭐ YES — 0% 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),"Business Cash Preferred: 0% 12 cycles then 17.24-26.24% var, $0 AF; Business Real Rewards: 0% 6 cycles then 17.24-26.24%, $0 AF; Smart Business Rewards: no 0%, 18.24-25.24%, $0 intro AF then $95",Elan,"Live verbatim on exchangebank.com: 'The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated'; servicing at myaccountaccess.com",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=02912&ecid=OTHE_25940#business,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (0% 12 cycles + 17.24-26.24% + $0 AF all re-verified live),https://www.exchangebank.com/business/credit-cards; https://creditcardlearnmore.com/11t3/index?ecdma-lc=02912&ecid=OTHE_25940#business,2026-06-11
79,Banner Bank,Out-of-state bank with CA branches (SOD),Walla Walla,https://www.bannerbank.com,2610504,16338071,YES,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,⭐ 0% 12 months purchases+BT (Business Platinum MC),12.49-17.49% var after intro; $0 AF incl employee cards; Business Cash Rewards variant also offered,SELF,"Banner Bank issues directly; downloadable Banner application, no third-party issuer named",In-person,"download application + bring to branch (""Download an application and bring it to a branch near you to apply"")",not visible live (prior: mentor-only TransUnion DP unverified),not visible on page (prior PDF: PG joint&several + guarantor SSN/income/net worth + gross revenue),"Yes — pulls, sensitive (Unchex; BankDealGuy reader DP 2026-01-27); BankOn 'Digital Account' = fallback [COMMUNITY-DP; 2026-01-27 (existing cell)]",UNKNOWN,UNKNOWN,"QualiFile (ChexSystems/FIS scoring product) — auto-deny, no manual override [COMMUNITY-DP; 2026-01-27] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",LIVE-CONFIRMS (0% 12mo; $0 AF; self-issued; branch apply; prior richer on app-form underwriting detail),https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,2026-06-11
80,ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,https://www.orangecountyscu.org,2584116,3074686,YES,https://www.orangecountyscu.org/products/credit-cards/,Not shown (no intro offer found live),"Business Mastercard exists but is low-visibility: NOT listed on live business-services page (only checking/savings/MMA/CDs/vehicle/CRE); confirmed via own FAQ/disclosure PDFs + Business MC payment address PO Box 11777 Santa Ana; Platinum APR ~16.74-18.00%, $0 AF (consumer disclosure)",SELF,Payments to own Santa Ana PO Box; cards serviced at orangecountyscu.mycardinfo.com (processor portal; no Elan/TCM/FNBO tells),Branch/phone (no online business-card app found),https://www.orangecountyscu.org/about-us/contact-us/,Not visible live (prior: Experian for consumer loans per own FAQ),Not visible live,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492),UNKNOWN,UNKNOWN,PRIOR-RICHER — live nav no longer surfaces the business card (only FAQ/PDF traces); prior had product placement detail; program appears extant but de-emphasized,https://www.orangecountyscu.org/products/business-services/; https://www.orangecountyscu.org/products/credit-cards/; google SERP,2026-06-11
81,WEST COAST COMMUNITY BANK,Bank,Santa Cruz,https://wccb.com,2476069,2895001,YES,https://wccb.com/corporate_cards,No 0% shown (APR not disclosed),Corporate + Corporate Purchasing Mastercards; $0 AF; virtual cards/spend controls on Purchasing tier,SELF,CorServ/Apex platform: cardholder portal wccb.myapexcard.com; cards presented as bank's own; no agent-issuer disclosure,Phone/RM (Corporate Card Mgr 831.457.5000; no online app),https://wccb.com/corporate_cards,Not visible,Not visible,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (CorServ Apex Mastercard, $0 AF, phone-only apply, terms undisclosed)",https://wccb.com/corporate_cards,2026-06-11
82,PARTNERS FEDERAL CREDIT UNION,Credit Union,Burbank,https://www.partnersfcu.org,2446780,2799230,NO,,NO,"Consumer-only CU (Disney cast members): Visa Platinum/Platinum Rewards/Signature/Share Secured; no business banking, loans, or cards anywhere in nav",—,n/a - no business card exists [raw: UNKNOWN],No,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),"LIVE-CONTRADICTS (prior claimed TIB business Mastercard with site pbofca.com - that is Partners Bank of California, a different institution; the real Partners FCU at partnersfcu.org has NO business products at all)",https://www.partnersfcu.org/,2026-06-11
83,Sunwest Bank,Out-of-state bank with CA branches (SOD),Sandy,https://www.sunwestbank.com,2421811,4270088,YES,https://www.visionarycorporatecard.com/,NO,Visionary Corporate Card: 1% cash back (monthly statement credit); no implementation/license fees; expense-mgmt platform with virtual cards; no 0% intro; sunwestbank.com page 403-blocked to bots,SELF,Torpago 'Powered By' platform + Marqeta issuing rails but Sunwest is bank of record/own balance sheet (Torpago press: bank-branded program incl. underwriting infra); 'Banking services provided by Sunwest Bank Member FDIC',Email/contact (VisionaryPayments@SunwestBank.com),https://www.visionarycorporatecard.com/,—,—,"Consumer: UNKNOWN — no DPs; site 'early warning' text = fraud-alert copy, NOT EWS agency (v6 verified) | BUSINESS: UNKNOWN — online biz opener exists (EIN + docs) but screening vendor undisclosed; site 403-blocks robots [2026-06-11 (searched, no data)] (https://www.sunwestbank.com/banking/business/business-checking/ (403))","Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched, no data)] (https://www.sunwestbank.com/banking/business/business-checking/ (403))",UNKNOWN,UNKNOWN,PRIOR-RICHER — live page no longer states existing-clients-only; prior client-only + no-PG detail not visible live,https://www.visionarycorporatecard.com/ | https://www.torpago.com/press/sunwest-bank-unveils-its-visionary-card-program-in-dynamic-collaboration-with-torpago-and-marqeta/,2026-06-11
84,ARROWHEAD FEDERAL CREDIT UNION,Credit Union,Rancho Cucamong,https://www.arrowheadcu.org,2404987,2905839,NO,,—,Consumer Arrowhead Visa (APR as low as 13.49%) + Share-Secured Visa only; business side = loans (/loans/business); stray FAQ mentions business debit/credit card members but no business card product page exists,—,n/a — no business card product,n/a,,Free FICO score on consumer card statements (not Experian as prior noted),—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (no business credit card; consumer only). Minor: prior said free Experian/FICO — live page says FICO score, bureau not named",https://www.arrowheadcu.org/arrowhead-visa; https://www.arrowheadcu.org/,2026-06-11
85,ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,https://www.alturacu.com,2386844,2665893,YES,https://www.alturacu.com/business-credit-card/,NO — no intro rate mentioned on live page,⭐ Business Platinum: $0 AF; APR not published ('competitive interest rates'); limit up to $25K OAC; no BT fee; no cash advance fee; LLC NOT required (verbatim: 'You are not required to have an LLC to get a business credit card'); freelancers/online sellers eligible,SELF,Live page branded Altura Credit Union; no Elan/TCM/FNBO/CorServ branding or third-party portal on page,In-person,https://www.alturacu.com/business-credit-card/ (apply = visit branch or call 888-883-7228),—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.alturacu.com/business-credit-card/,2026-06-11
86,CALPRIVATE BANK,Bank,La Jolla,https://calprivate.bank,2375837,2693463,YES,https://calprivate.bank/business-banking/business-credit-cards/,NO 0% intro (only 'Competitive Ongoing APR' stated),Business Standard $0 AF + Business Preferred Points $49 AF; 25-day grace; rewards via mypreferredpoints.com,TIB,TIB program signature live: cardaccount.net servicing + mypreferredpoints.com rewards; TIB named on page for consumer card; business issuer not explicitly disclosed,In-person,'Contact Banker' form on page — no online application,not visible live (prior: Experian per TIB),not visible live,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no 0%; $0/$49 AF; banker-apply; TIB program rails live though business-card issuer line not verbatim),https://calprivate.bank/business-banking/business-credit-cards/,2026-06-11
87,OPEN BANK,Bank,Los Angeles,https://myopenbank.com,2328101,2699382,YES,https://myopenbank.com/additional-services/,Not shown on bank page (Elan offer page would carry current promo; prior N/M),"Elan business card menu: low rate / cash back / flexible rewards; free employee cards, expense tools, zero fraud liability",Elan,Live page: cards issued by Elan Financial Services per Visa/MC licenses; apply at creditcardlearnmore.com/11t3 (loc=24196); mgmt at myaccountaccess.com theme=elan1,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=24196&ecid=OTHE_25940,Not visible live (prior: TU typical for Elan),⭐ Not visible live (prior: PG yes; no tax returns <$25K),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR,https://myopenbank.com/additional-services/,2026-06-11
88,UNITED BUSINESS BANK,Bank,Walnut Creek,https://www.unitedbusinessbank.com,2267047,2632362,YES,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,Not visible (no promos mentioned),"""Competitive Annual Percentage Rate""; employee expense tracking; online account mgmt; no rates/fees/products named",UNKNOWN,No issuer named; no portal links on live page,Request-Info form (no online app),https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,Not visible,Not visible,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (card exists, issuer/terms undisclosed, Request-Info only)",https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,2026-06-11
89,MidFirst Bank,Out-of-state bank with CA branches (SOD),Oklahoma City,https://www.midfirst.com,2259863,42109827,YES,https://www.midfirst.com/business-and-commercial/card-solutions/credit,⭐ 'Low introductory APR' purchases+BT first 6 billing cycles (rate not stated; not confirmed as 0%),3 cards: Business Rewards / Business Credit Card / Business Secured; APRs and AFs not published,SELF,MidFirst-branded Visa cards on own site; no third-party portal mentioned,In-person (banking center / local banker; no online app shown),,—,—,"Yes — pulls, 4 DPs (DoC 2025-08-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/)",UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (3 cards incl Secured, self, in-person); live adds 'low intro APR 6 cycles' detail prior lacked; prior's $35 AF on Secured not visible on live overview page",https://www.midfirst.com/business-and-commercial/card-solutions/credit,2026-06-11
90,The Northern Trust Company,Out-of-state bank with CA branches (SOD),Chicago,https://www.northerntrust.com,2223820,173842608,NO,,—,No public business credit card; credit card program exists for HNW/private wealth clients only; northerntrust.com 503-blocked to bots 2026-06-11,—,The Paypers: 'Northern Trust Selects Elan as Credit Card Provider' for HNW-client branded program; matches prior Elan private-bank-wrapper finding [raw: Elan Financial Services],Private banker only,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (via third-party; bank site unreachable),https://thepaypers.com/payments/news/northern-trust-selects-elan-as-credit-card-provider | https://www.northerntrust.com,2026-06-11
91,FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,https://www.firefightersfirstcu.org,2221334,2470349,YES,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,NO (no 0% intro found),"Business Platinum Visa, 1% cashback; business membership required; APR 10.75-18.00% var per prior (not re-shown; domain fetch-blocked, verified via search snippets)",SELF,CU own-branded Business Visa; no Elan/TCM/FNBO; firefightersfirstcu.org hosts product + requirements,Email/phone (800-231-1626); business membership prereq,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,Personal credit reviewed (bureau not named),NO — FULL-DOC: current business income statement + business federal tax returns required (live snippet),Membership: UNKNOWN — no Chex/EWS data (occupational closed SEG) | BUSINESS: UNKNOWN [2026-06-10 (no data); 2026-06-11 eligibility verified] (https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility),Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10 (no data); 2026-06-11 eligibility verified] (https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility),UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (self-issued, full-doc tax returns, 1% cashback); PRIOR-RICHER on APR range; apply leans email/phone vs prior Online",https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,2026-06-11
92,AVIDBANK,Bank,San Jose,https://www.avidbank.com,2202730,2572193,YES,https://www.avidbank.com/lending-products,UNCLEAR — commercial program; no published consumer-style terms (avidbank.com 403s bots),"Live avidbank.com text (via search): 'Corporate and Business Credit Card programs offer... flexibility, rewards, and security'; commercial cards w/ spend controls, virtual cards, Level 2/3 data, custom rebates; relationship/commercial clients",SELF,CorServ press (May 2024): Avidbank moved from Agent Bank to CorServ Account Issuer program — bank controls credit decisioning; live site still advertises corporate/business card program,In-person,https://www.avidbank.com/lending-products (relationship/contact-based),—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.avidbank.com/lending-products; https://www.corservsolutions.com/avidbank-partners-with-corserv-to-implement-a-beneficial-credit-card-program-for-commercial-customers/,2026-06-11
93,"EverBank, National Association",Out-of-state bank with CA branches (SOD),Jacksonville,https://www.everbank.com,2199297,47232699,YES,https://www.everbank.com/business,not stated on bank site (Elan suite terms behind external Elan apply site),Business credit cards via Elan partner site; terms delegated to Elan platform,Elan,"Verbatim live: ""We've partnered with Elan Financial Services as issuer and creditor of EverBank credit cards""",Online,Elan external application site linked from everbank.com/business,not visible live (prior: TransUnion varies),not visible live,Yes — legacy 'TIAA' entry (DoC 2025-08-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (Elan verbatim 'issuer and creditor'; online apply; terms N/M on bank site),https://www.everbank.com/business,2026-06-11
94,"EL DORADO SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Placerville,https://www.eldoradosavingsbank.com,2126939,2472114,NO,,—,Debit only: nav shows Visa Debit Card (personal) + Business Visa Debit Card; no credit cards of any kind,—,n/a — no card program [raw: UNKNOWN],n/a,,n/a,n/a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR (thrift; debit only),https://www.eldoradosavingsbank.com,2026-06-11
95,COAST CENTRAL CREDIT UNION,Credit Union,Eureka,https://www.coastccu.org,2060772,2322103,YES,https://www.coastccu.org/business/business-credit-cards/,No 0% intro (rate-based cards),"Business Visa (limits from $1K, var APR as low as 10.70%) + Signature Visa (from $5K, as low as 9.70%); $0 AF; 1-2 pts rewards; employee cards",SELF,"CU's own card with own APR schedule; prior app-PDF evidence ""pursuant to Coast Central Credit Union VISA Credit Card Agreement""; no third-party issuer on live page",Paper PDF app to branch,http://www.coastccu.org/wp-content/uploads/2026/03/Business-Visa-Credit-Card-Application-3.16.25.pdf,Not visible,Doc requirements not shown on live page (prior: full-doc),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),LIVE-CONTRADICTS (lineup changed: prior 'Business Visa Classic/Gold' w/ rev-10/04 paper app; live = 'Business Visa' + 'Signature Visa' with new 3.16.25 app PDF and visible APRs 10.70%/9.70%; still paper-only apply),https://www.coastccu.org/business/business-credit-cards/ | https://www.coastccu.org/business/,2026-06-11
96,F & A FEDERAL CREDIT UNION,Credit Union,Monterey Park,https://www.fafcu.org,2052654,3056610,NO,,NO,Consumer-only (LA County fire/municipal employees): Premier Low Rate Visa 6.90-14.50% and Premier Rewards Visa; no business accounts or lending anywhere,—,n/a - no business products [raw: UNKNOWN],No,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no business products; consumer Visa only),https://www.fafcu.org/,2026-06-11
97,LBS FINANCIAL CREDIT UNION,Credit Union,Long Beach,https://www.lbsfcu.org,1897558,2191341,NO,,—,Consumer-only CU: consumer checking/savings/credit cards/auto/home loans; zero business products in nav,—,No business services exist; consumer Visa only [raw: NONE],—,,—,—,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26] (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492),UNKNOWN,UNKNOWN,LIVE-CONFIRMS — Long Beach business-card gap still empty,https://www.lbsfcu.org,2026-06-11
98,MONTECITO BANK & TRUST,Bank,Santa Barbara,https://montecito.bank,1793788,2036398,YES,https://montecito.bank/business/credit-card,NO (no 0% intro on live page),Business Visa: 16.49-24.49% var; $0 AF; 1pt/$1 = 1% auto cash back; $250 statement credit after $5K/90d (offer thru 6/30/2026),SELF,Own-branded MB&T Visa; no Elan/TCM/FNBO named; prior verified MB&T as creditor,Assisted (appointment/banker),https://montecito.bank/business/credit-card (schedule appointment; tel 805-963-7511),—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (no 0%, 16.49-24.49%, $0 AF, 1% back, $250 SUB, assisted apply)",https://montecito.bank/business/credit-card,2026-06-11
99,FINANCIAL PARTNERS CREDIT UNION,Credit Union,Downey,https://fpcu.org,1787836,2247379,NO,—,—,Live fpcu.org card lineup is consumer-only: Visa Platinum / Visa Platinum Rewards (0% intro 12 billing periods is CONSUMER offer) / Savings Secured; no business card page on domain,—,fpcu.org credit-card pages (live search of domain) show only personal Visa products; business side = deposits [raw: Self (consumer cards only; none for business)],No,—,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://fpcu.org/loans-credit/credit-cards; https://fpcu.org/money-saving-rates/credit-card-rates,2026-06-11
100,OAK VALLEY COMMUNITY BANK,Bank,Oakdale,https://www.ovcb.com,1781504,2009991,UNCLEAR,https://www.ovcb.com/commercial/loans/credit-cards/,not stated,Commercial card page is servicing-only (mycardstatement.com login + cRewards); no terms; no new-customer application; pre-Oct-2013 cards serviced at branch,TCM,mycardstatement.com + crewardscard.com servicing rails = TCM/ICBA Payments signature; TCM not named verbatim on live page (prior named TCM),In-person,contact branch / 866-844-7500 — no public application,not visible live (prior: Experian),N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (white-label servicing-only; terms N/M; existing-cardholders focus; no public apply),https://www.ovcb.com/commercial/loans/credit-cards/,2026-06-11
101,PLUMAS BANK,Bank,Quincy,https://www.plumasbank.com,1778694,2199524,YES,https://www.plumasbank.com/business-banking/business-card-services,NO (no intro offer advertised; APR 'see application'),Two options: Standard ($0 AF) + Business Preferred Points ($49 AF); APR not published — on application only (prior: ~19.49% Prime+10.99% cap 21%),TIB,Site states cards offered in partnership with TIB The Independent Bankers Bank N.A.; separate credit-card-access page (cardaccount.net-style servicing),Application via bank (no instant online app; bank page 403-blocked direct fetch — verified via search snippets of plumasbank.com pages),https://www.plumasbank.com/business-banking/business-card-services,Not visible live (prior: personal HP on guarantor; bureau unnamed),Not visible live (prior: PG YES + personal tax return required — NOT no-doc),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR,https://www.plumasbank.com/business-banking/business-card-services; https://www.plumasbank.com/credit-card-access,2026-06-11
102,MERIWEST CREDIT UNION,Credit Union,San Jose,https://www.meriwest.com,1753530,2163597,YES,https://www.meriwest.com/business/business-credit-cards,Not visible (Elan-portal terms; site 403 to fetcher),Rewards/travel points; low APR; high lines (per indexed page text); Elan-standard product set,Elan,Indexed meriwest.com business-credit-cards page: creditor/issuer = Elan Financial Services (Visa/MC licenses); BusinessWire 2014 Elan-Meriwest agent partnership; myFICO datapoint 'Elan Financial Services c/o Meriwest',Online (Elan app),https://www.meriwest.com/business/business-credit-cards (meriwest.com 403 to fetcher),Not visible,Not visible,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),"LIVE-CONFIRMS (Elan issuer stands; page URL moved /business-services/ -> /business/business-credit-cards; caveat: direct fetch blocked 403, verified via search index quote)",https://www.meriwest.com/business/business-credit-cards | https://www.businesswire.com/news/home/20140925006130/en/,2026-06-11
103,FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,https://www.firstent.org,1713776,2122096,YES,https://www.firstent.org/business/credit-cards/preferred-cash-visa/,"⭐ YES - 0% intro APR 12 mo (purchases, per search snippet)","Preferred Cash Business Visa: 1.5% cash back, no AF, $100 bonus after $1k/90d; also Visa Platinum Business",SELF,Own-domain card pages; no third-party issuer named,Call,mailto:businessbanking@firstent.org (or 888-800-3328); no online app,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.firstent.org/business/credit-cards/preferred-cash-visa/; https://www.firstent.org/business/credit-cards/,2026-06-11
