Institution,CFPB_status,Corroboration_note,PG_policy(+source),CLI_policy(+source),Material_flags,Source_links,Date
FARMERS AND MERCHANTS BANK OF LONG BEACH,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
PATELCO CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact; filed doc is Business Rewards Mastercard T&C.",PG not in CFPB-filed Business Rewards MC T&C (rates/fees doc only); not published live. [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://files.consumerfinance.gov/a/assets/credit-card-agreements/pdf/PATELCO_CREDIT_UNION/ (Business Rewards MC T&C),2026-06-12
SAN DIEGO COUNTY CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",PG not published; only penalty-APR terms surfaced (29.99% fixed after 2 missed cycles in 12mo). [2026-06-12],CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.sdccu.com/business/business-credit-card/,2026-06-12
PREFERRED BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
CALIFORNIA FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
TRAVIS CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact; filed doc is Business Credit Card disclosure dated 01/26.","PG YES (verbatim, CFPB-filed Business Credit Card Agreement, disclosure code BCCDISC 01/26): ""If you are an organization, the officer or owner that obtained the account for the organization is also personally obligated for all charges made under the account""; ""you"" includes ""business owner(s), guarantors"". [2026-06-12]","CLI (verbatim): ""Your credit limit will be reviewed periodically... Your borrowing limit may be increased or decreased at any time. You can apply for an increase in your credit limit at any time."" [2026-06-12]",Fresh business-card terms: CFPB-filed Business Credit Card disclosure coded BCCDISC 01/26 (January 2026) — program active and recently re-papered. https://www.consumerfinance.gov/credit-cards/agreements/issuer/travis-credit-union/,https://www.consumerfinance.gov/credit-cards/agreements/; https://files.consumerfinance.gov/a/assets/credit-card-agreements/pdf/TRAVIS_CREDIT_UNION/TCU_Business_Credit_ (via CFPB issuer page https://www.consumerfinance.gov/credit-cards/agreements/issuer/travis-credit-union/),2026-06-12
Washington Federal Bank,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.","PG YES — WaFd small business card page: ""Underwriting... is based on your personal credit, and you are personally responsible for the payment of all balances incurred on this account"". [2026-06-12]",CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card,2026-06-12
STANFORD FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.","PG effective-YES — Business Credit Card Agreement: ""'you' and 'your' mean each person, each business or organization, and each officer or owner of the organization who agrees to be bound by this Agreement"" (owners bound personally); app requires Personal Financial Statement, min 640 score, 2 yrs in business. [2026-06-12]",CLI: not published.,,https://www.consumerfinance.gov/credit-cards/agreements/; https://sfcuonline.org/wp-content/uploads/2023/01/Business-Credit-Card-Agreement.pdf; https://www.sfcu.org/business-banking/credit-cards/,2026-06-12
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
PROVIDENT CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact; includes Business Visa rates doc.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
PREMIER AMERICA CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
EXCHANGE BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
WEST COAST COMMUNITY BANK,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
OPEN BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
AVIDBANK,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
FIRST ENTERTAINMENT CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
BAY FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
BENEFICIAL STATE BANK,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
KEYPOINT CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
CHRISTIAN COMMUNITY CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
LOS ANGELES FEDERAL CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
HONDA FEDERAL CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
EVERTRUST BANK,ABSENT,"Absent — fully consistent with our Elan call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
SACRAMENTO CREDIT UNION,PRESENT,"Issuer of record; filed agreement(s) in own name, no third-party creditor (Elan/TCM/FNBO) found in sampled agreement text — corroborates SELF. Match: exact.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
MISSION VALLEY BANK,ABSENT,"Absent — fully consistent with our TCM call: agent banks are not issuers of record (agreements are filed by the issuing partner, e.g., Elan/U.S. Bank, TCM Bank, FNBO).",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Shinhan Bank America,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,POSITIVE: FDIC AML consent order lifted March 2026 after ~8 years; parent to inject $50M capital for US expansion. https://www.businesskorea.co.kr/news/articleView.html?idxno=241048,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
YOLO FEDERAL CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
Safra National Bank of New York,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
CALIFORNIA COMMUNITY CREDIT UNION,ABSENT,"Absent from CFPB issuer list — consistent with de-minimis exemption (<10,000 open consumer credit card accounts) or no consumer card program; CFPB DB covers consumer agreements only, so NOT a contradiction of our SELF business-card call.",,,,https://www.consumerfinance.gov/credit-cards/agreements/,2026-06-12
